4.6823 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.6247 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B50E5860B8>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B50E6034E0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.6249 	EXP 	window1: mouseVisible = True
8.6249 	EXP 	window1: recordFrameIntervals = False
8.6937 	EXP 	window1: recordFrameIntervals = True
8.7703 	EXP 	window1: recordFrameIntervals = False
9.0151 	EXP 	UDP Sent: marker_value=0, marker_string=experiment_start
9.1451 	EXP 	Created instructions1_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instructions1_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.1530 	EXP 	Created pieman_details_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='pieman_details_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.2035 	EXP 	participant_response: autoLog = True
9.2035 	EXP 	instructions1_text: autoDraw = True
11.8505 	DATA 	Keypress: space
11.8843 	EXP 	instructions1_text: autoDraw = False
11.8843 	EXP 	pieman_details_text: autoDraw = True
14.4399 	EXP 	UDP Sent: marker_value=7, marker_string=trial_end
14.4472 	DATA 	Keypress: space
14.4489 	EXP 	pieman_details_text: autoDraw = False
14.4489 	EXP 	participant_response: autoDraw = True
15.9590 	DATA 	Keypress: d
16.0497 	DATA 	Keypress: j
16.1756 	DATA 	Keypress: f
16.2449 	DATA 	Keypress: j
16.3549 	DATA 	Keypress: d
16.5147 	DATA 	Keypress: k
16.7443 	DATA 	Keypress: space
16.8626 	DATA 	Keypress: f
17.0225 	DATA 	Keypress: d
17.1822 	DATA 	Keypress: k
17.2299 	DATA 	Keypress: f
17.3548 	DATA 	Keypress: k
17.4040 	DATA 	Keypress: f
17.5352 	DATA 	Keypress: space
17.6047 	DATA 	Keypress: f
17.6948 	DATA 	Keypress: k
17.7575 	DATA 	Keypress: d
17.8691 	DATA 	Keypress: n
17.8963 	DATA 	Keypress: f
17.9863 	DATA 	Keypress: d
18.0085 	DATA 	Keypress: k
18.1462 	DATA 	Keypress: f
18.1949 	DATA 	Keypress: space
18.3546 	DATA 	Keypress: f
18.4450 	DATA 	Keypress: k
18.5353 	DATA 	Keypress: d
18.6050 	DATA 	Keypress: space
18.7442 	DATA 	Keypress: f
18.8136 	DATA 	Keypress: k
18.9246 	DATA 	Keypress: f
18.9943 	DATA 	Keypress: k
19.0916 	DATA 	Keypress: f
19.1600 	DATA 	Keypress: k
19.2508 	DATA 	Keypress: f
19.2989 	DATA 	Keypress: space
19.4309 	DATA 	Keypress: f
19.4946 	DATA 	Keypress: k
19.5421 	DATA 	Keypress: d
19.6817 	DATA 	Keypress: k
19.7229 	DATA 	Keypress: f
19.8408 	DATA 	Keypress: k
19.9027 	DATA 	Keypress: d
20.0080 	DATA 	Keypress: space
20.0564 	DATA 	Keypress: f
20.2093 	DATA 	Keypress: k
20.2571 	DATA 	Keypress: d
20.4445 	DATA 	Keypress: f
20.5360 	DATA 	Keypress: k
20.5369 	DATA 	Keypress: d
20.6735 	DATA 	Keypress: f
20.7153 	DATA 	Keypress: k
20.8132 	DATA 	Keypress: f
20.9035 	DATA 	Keypress: space
20.9521 	DATA 	Keypress: d
21.0901 	DATA 	Keypress: k
21.1538 	DATA 	Keypress: f
21.2570 	DATA 	Keypress: k
21.3469 	DATA 	Keypress: f
21.4374 	DATA 	Keypress: k
21.5423 	DATA 	Keypress: f
21.5839 	DATA 	Keypress: space
21.6316 	DATA 	Keypress: d
21.7705 	DATA 	Keypress: k
21.8538 	DATA 	Keypress: d
21.9650 	DATA 	Keypress: k
22.0553 	DATA 	Keypress: f
22.1455 	DATA 	Keypress: k
22.2080 	DATA 	Keypress: f
22.2089 	DATA 	Keypress: d
22.3265 	DATA 	Keypress: k
22.4167 	DATA 	Keypress: f
22.5281 	DATA 	Keypress: k
22.5831 	DATA 	Keypress: d
22.6039 	DATA 	Keypress: f
22.7081 	DATA 	Keypress: k
22.7980 	DATA 	Keypress: f
22.9170 	DATA 	Keypress: k
22.9587 	DATA 	Keypress: d
23.0691 	DATA 	Keypress: f
23.1183 	DATA 	Keypress: k
23.2079 	DATA 	Keypress: d
23.3199 	DATA 	Keypress: k
23.3615 	DATA 	Keypress: f
23.4581 	DATA 	Keypress: d
23.5282 	DATA 	Keypress: k
23.5969 	DATA 	Keypress: f
23.7076 	DATA 	Keypress: d
23.7503 	DATA 	Keypress: k
23.8466 	DATA 	Keypress: f
23.9377 	DATA 	Keypress: d
23.9784 	DATA 	Keypress: k
24.1387 	DATA 	Keypress: space
24.2304 	DATA 	Keypress: f
24.3473 	DATA 	Keypress: k
24.4368 	DATA 	Keypress: d
24.5480 	DATA 	Keypress: k
24.6178 	DATA 	Keypress: f
24.7293 	DATA 	Keypress: k
24.7912 	DATA 	Keypress: d
24.9090 	DATA 	Keypress: space
24.9713 	DATA 	Keypress: f
25.0973 	DATA 	Keypress: k
25.1867 	DATA 	Keypress: f
25.3124 	DATA 	Keypress: j
25.4088 	DATA 	Keypress: d
25.5756 	DATA 	Keypress: f
25.6874 	DATA 	Keypress: space
25.7976 	DATA 	Keypress: d
26.0416 	DATA 	Keypress: f
26.2637 	DATA 	Keypress: j
26.3116 	DATA 	Keypress: f
26.5198 	DATA 	Keypress: f
26.6236 	DATA 	Keypress: space
26.7279 	DATA 	Keypress: f
26.8597 	DATA 	Keypress: h
26.9501 	DATA 	Keypress: d
27.0623 	DATA 	Keypress: space
27.1664 	DATA 	Keypress: d
27.2558 	DATA 	Keypress: h
27.3391 	DATA 	Keypress: f
27.4293 	DATA 	Keypress: space
27.5475 	DATA 	Keypress: f
27.6173 	DATA 	Keypress: h
27.7432 	DATA 	Keypress: f
27.8112 	DATA 	Keypress: h
27.8816 	DATA 	Keypress: d
27.9708 	DATA 	Keypress: space
28.2139 	DATA 	Keypress: d
28.2361 	DATA 	Keypress: k
28.5058 	DATA 	Keypress: k
28.5958 	DATA 	Keypress: f
28.6864 	DATA 	Keypress: k
28.7831 	DATA 	Keypress: f
28.8527 	DATA 	Keypress: space
28.9984 	DATA 	Keypress: d
29.1312 	DATA 	Keypress: k
29.2281 	DATA 	Keypress: d
29.4300 	DATA 	Keypress: f
29.5618 	DATA 	Keypress: n
29.6312 	DATA 	Keypress: f
29.7900 	DATA 	Keypress: space
29.9221 	DATA 	Keypress: f
30.1589 	DATA 	Keypress: g
30.2275 	DATA 	Keypress: space
30.4366 	DATA 	Keypress: k
30.5815 	DATA 	Keypress: d
30.6577 	DATA 	Keypress: k
30.8043 	DATA 	Keypress: d
30.8451 	DATA 	Keypress: space
30.9706 	DATA 	Keypress: f
31.0607 	DATA 	Keypress: k
31.1925 	DATA 	Keypress: f
31.2829 	DATA 	Keypress: space
31.3869 	DATA 	Keypress: f
31.4916 	DATA 	Keypress: h
31.8102 	DATA 	Keypress: g
31.9075 	DATA 	Keypress: h
31.9916 	DATA 	Keypress: d
32.0882 	DATA 	Keypress: space
32.2061 	DATA 	Keypress: d
32.2965 	DATA 	Keypress: j
32.4146 	DATA 	Keypress: g
32.6513 	DATA 	Keypress: g
32.8795 	DATA 	Keypress: g
33.1156 	DATA 	Keypress: space
33.2338 	DATA 	Keypress: d
33.3520 	DATA 	Keypress: j
33.4353 	DATA 	Keypress: g
33.5738 	DATA 	Keypress: j
33.6500 	DATA 	Keypress: d
33.7830 	DATA 	Keypress: j
33.8099 	DATA 	Keypress: g
33.8721 	DATA 	Keypress: space
33.9417 	DATA 	Keypress: d
34.0045 	DATA 	Keypress: k
34.0533 	DATA 	Keypress: g
34.1716 	DATA 	Keypress: d
34.2613 	DATA 	Keypress: k
34.3593 	DATA 	Keypress: g
34.4418 	DATA 	Keypress: s
34.5532 	DATA 	Keypress: space
34.6026 	DATA 	Keypress: g
34.7415 	DATA 	Keypress: k
34.7680 	DATA 	Keypress: s
34.8382 	DATA 	Keypress: j
34.8867 	DATA 	Keypress: g
34.8884 	DATA 	Keypress: space
35.0185 	DATA 	Keypress: s
35.0397 	DATA 	Keypress: k
35.1573 	DATA 	Keypress: space
35.1798 	DATA 	Keypress: g
35.3305 	DATA 	Keypress: k
35.3322 	DATA 	Keypress: d
35.4000 	DATA 	Keypress: j
35.4485 	DATA 	Keypress: g
35.4902 	DATA 	Keypress: space
35.5879 	DATA 	Keypress: d
35.5896 	DATA 	Keypress: s
35.6291 	DATA 	Keypress: k
35.6780 	DATA 	Keypress: j
35.6992 	DATA 	Keypress: g
35.8441 	DATA 	Keypress: s
35.8651 	DATA 	Keypress: d
35.8858 	DATA 	Keypress: k
35.9344 	DATA 	Keypress: j
35.9622 	DATA 	Keypress: g
36.0250 	DATA 	Keypress: h
36.0943 	DATA 	Keypress: s
36.1230 	DATA 	Keypress: k
36.1249 	DATA 	Keypress: d
36.1715 	DATA 	Keypress: j
36.2194 	DATA 	Keypress: g
36.4424 	DATA 	Keypress: k
36.5253 	DATA 	Keypress: s
36.7330 	DATA 	Keypress: space
36.8657 	DATA 	Keypress: space
