GNG_stim,match
affective_go_stimuli\puppy_1.jpg,['space']
affective_no_go_stimuli\spider_5.jpeg,
affective_go_stimuli\puppy_18.jpeg,['space']
affective_go_stimuli\puppy_2.jpg,['space']
affective_go_stimuli\puppy_6.jpg,['space']
affective_no_go_stimuli\spider_1.jpeg,
affective_no_go_stimuli\spider_3.jpeg,
affective_no_go_stimuli\spider_23.jpg,
affective_no_go_stimuli\spider_20.jpg,
affective_go_stimuli\puppy_3.jpg,['space']
affective_go_stimuli\puppy_5.jpg,['space']
affective_go_stimuli\puppy_14.jpeg,['space']
affective_no_go_stimuli\spider_25.jpg,
affective_go_stimuli\puppy_19.jpeg,['space']
affective_go_stimuli\puppy_15.jpeg,['space']
affective_no_go_stimuli\spider_28.jpg,
affective_no_go_stimuli\spider_2.jpeg,
affective_go_stimuli\puppy_30.jpg,['space']
affective_no_go_stimuli\spider_24.jpeg,
affective_no_go_stimuli\spider_14.jpeg,
affective_go_stimuli\puppy_16.jpeg,['space']
affective_go_stimuli\puppy_24.jpeg,['space']
affective_no_go_stimuli\spider_29.jpg,
affective_go_stimuli\puppy_4.jpg,['space']
affective_no_go_stimuli\spider_11.jpeg,
affective_no_go_stimuli\spider_16.jpeg,
affective_no_go_stimuli\spider_30.jpg,
affective_go_stimuli\puppy_23.jpeg,['space']
affective_go_stimuli\puppy_8.jpg,['space']
affective_no_go_stimuli\spider_27.jpeg,
