inter_stim_inverval,GNG_stim,match,corr_key
5.0,affective_no_go_stimuli\spider_27.jpeg,0,None
6.0,affective_go_stimuli\puppy_20.jpeg,1,space
6.5,affective_no_go_stimuli\spider_17.jpeg,0,None
6.0,affective_no_go_stimuli\spider_2.jpeg,0,None
6.5,affective_go_stimuli\puppy_6.jpg,1,space
4.0,affective_go_stimuli\puppy_11.jpeg,1,space
5.0,affective_go_stimuli\puppy_8.jpg,1,space
4.5,affective_go_stimuli\puppy_5.jpg,1,space
5.0,affective_go_stimuli\puppy_7.jpg,1,space
5.5,affective_no_go_stimuli\spider_9.jpeg,0,None
6.5,affective_go_stimuli\puppy_25.jpeg,1,space
5.0,affective_no_go_stimuli\spider_13.jpeg,0,None
5.5,affective_no_go_stimuli\spider_21.jpg,0,None
5.0,affective_no_go_stimuli\spider_10.jpeg,0,None
6.5,affective_go_stimuli\puppy_9.jpg,1,space
4.5,affective_go_stimuli\puppy_12.jpeg,1,space
5.5,affective_no_go_stimuli\spider_11.jpeg,0,None
6.5,affective_go_stimuli\puppy_4.jpg,1,space
6.5,affective_no_go_stimuli\spider_28.jpg,0,None
4.0,affective_no_go_stimuli\spider_6.jpeg,0,None
