inter_stim_interval,go_stim,match
4.0,affective_go_stimuli\puppy_16.jpeg,1
4.0,affective_go_stimuli\puppy_11.jpeg,1
5.0,affective_go_stimuli\puppy_19.jpeg,1
6.0,affective_go_stimuli\puppy_2.jpg,1
5.0,affective_go_stimuli\puppy_25.jpeg,1
6.5,affective_go_stimuli\puppy_3.jpg,1
4.0,affective_go_stimuli\puppy_5.jpg,1
5.5,affective_go_stimuli\puppy_14.jpeg,1
5.5,affective_go_stimuli\puppy_18.jpeg,1
6.0,affective_go_stimuli\puppy_24.jpeg,1
5.5,affective_go_stimuli\puppy_23.jpeg,1
5.0,affective_go_stimuli\puppy_29.jpg,1
6.5,affective_go_stimuli\puppy_30.jpg,1
6.5,affective_go_stimuli\puppy_10.jpg,1
5.5,affective_go_stimuli\puppy_6.jpg,1
6.0,affective_go_stimuli\puppy_22.jpeg,1
6.0,affective_go_stimuli\puppy_20.jpeg,1
4.0,affective_go_stimuli\puppy_9.jpg,1
6.0,affective_go_stimuli\puppy_28.jpg,1
4.5,affective_go_stimuli\puppy_26.jpeg,1
