inter_stim_interval,go_stim,match,corr_key,inter_stim_inverval,GNG_stim,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,GNG_block.thisRepN,GNG_block.thisTrialN,GNG_block.thisN,GNG_block.thisIndex,inter_stim_plus.started,inter_stim_plus.stopped,go_resp.keys,go_resp.corr,go_resp.rt,go_resp.started,go_resp.stopped,go_image.started,go_image.stopped,GNG_resp.keys,GNG_resp.corr,GNG_resp.started,GNG_resp.stopped,GNG_image.started,GNG_image.stopped,GNG_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
4.5,affective_go_stimuli\puppy_18.jpeg,1,space,,,0,0,0,0,0,0,0,0,,,,,23.360120500001358,None,space,1,0.48342809997848235,27.923399999999674,None,27.923399999999674,None,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
5.0,affective_go_stimuli\puppy_12.jpeg,1,space,,,0,0,0,0,0,1,1,1,,,,,28.421390799980145,None,space,1,0.5981358999852091,33.45865389998653,None,33.45865389998653,33.96027630000026,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
6.5,affective_go_stimuli\puppy_15.jpeg,1,space,,,0,0,0,0,0,2,2,2,,,,,34.067998899990926,None,space,1,0.4596975000167731,40.58612419999554,None,40.58612419999554,None,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
4.5,affective_go_stimuli\puppy_7.jpg,1,space,,,0,0,0,0,0,3,3,3,,,,,41.06053309998242,None,space,1,0.3769927999819629,45.57841929999995,None,45.57841929999995,None,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
5.5,affective_go_stimuli\puppy_16.jpeg,1,space,,,0,0,0,0,0,4,4,4,,,,,45.96579089999432,None,space,1,0.33195630001137033,51.484026299993275,None,51.484026299993275,None,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
5.5,affective_go_stimuli\puppy_23.jpeg,1,space,,,0,0,0,0,0,5,5,5,,,,,51.82691539998632,None,space,1,0.2838268999767024,57.35995260000345,None,57.35995260000345,None,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
5.0,affective_go_stimuli\puppy_22.jpeg,1,space,,,0,0,0,0,0,6,6,6,,,,,57.66089999998803,None,None,0,,62.68166299999575,None,62.68166299999575,63.179850999993505,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
4.0,affective_go_stimuli\puppy_17.jpeg,1,space,,,0,0,0,0,0,7,7,7,,,,,65.6687169999932,None,None,0,,69.69604280000203,None,69.69604280000203,70.19717519998085,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
6.0,affective_go_stimuli\puppy_1.jpg,1,space,,,0,0,0,0,0,8,8,8,,,,,72.6806946999859,None,None,0,,78.70987940000487,None,78.70987940000487,79.21005449999939,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
6.5,affective_go_stimuli\puppy_27.jpg,1,space,,,0,0,0,0,0,9,9,9,,,,,81.69316019999678,None,None,0,,88.21564209999633,None,88.21564209999633,88.71671539999079,,,,,,,,,001,2022_Apr_02_1125,affective_go_no_go,2021.2.3,144.09865567646202,
