loop_count,inter_stim_inverval,GNG_stim,match,inter_stim_interval,go_stim,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,inter_stim_plus.started,inter_stim_plus.stopped,go_resp.keys,go_resp.corr,go_resp.started,go_resp.stopped,go_image.started,go_image.stopped,go_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,6.5,affective_go_stimuli\puppy_14.jpeg,1,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1724,affective_go_no_go,2021.2.3,143.95345116593987,
1,6.5,affective_go_stimuli\puppy_1.jpg,1,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1724,affective_go_no_go,2021.2.3,143.95345116593987,
1,5.0,affective_no_go_stimuli\spider_4.jpeg,0,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1724,affective_go_no_go,2021.2.3,143.95345116593987,
1,5.5,affective_no_go_stimuli\spider_5.jpeg,0,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1724,affective_go_no_go,2021.2.3,143.95345116593987,
1,,,1,5.5,affective_go_stimuli\puppy_10.jpg,0,0,0,0,,,,,0,0,0,0,0,0,0,0,45.04270250000991,None,None,0,50.55428350000875,None,50.55428350000875,51.0573868000065,,,001,2022_Feb_28_1724,affective_go_no_go,2021.2.3,143.95345116593987,
1,,,1,6.5,affective_go_stimuli\puppy_9.jpg,0,0,0,0,,,,,0,0,0,0,0,1,1,1,53.55412990000332,None,None,0,60.06675309999264,None,60.06675309999264,60.57105629998841,,,001,2022_Feb_28_1724,affective_go_no_go,2021.2.3,143.95345116593987,
1,,,1,4.0,affective_go_stimuli\puppy_20.jpeg,0,0,0,0,,,,,0,0,0,0,0,2,2,2,63.06520089998958,None,space,1,67.083472600003,None,67.083472600003,67.58238219999475,0.9208923999976832,,001,2022_Feb_28_1724,affective_go_no_go,2021.2.3,143.95345116593987,
1,,,1,5.0,affective_go_stimuli\puppy_22.jpeg,0,0,0,0,,,,,0,0,0,0,0,3,3,3,68.01885839999886,None,None,0,73.02871909999521,None,73.02871909999521,73.53163700000732,,,001,2022_Feb_28_1724,affective_go_no_go,2021.2.3,143.95345116593987,
1,,,1,5.0,affective_go_stimuli\puppy_15.jpeg,0,0,0,0,,,,,0,0,0,0,0,4,4,4,76.02811230000225,None,None,0,81.04613430000609,None,81.04613430000609,81.54955110000446,,,001,2022_Feb_28_1724,affective_go_no_go,2021.2.3,143.95345116593987,
,,,,,,,,,,,,,,,,,,,,,,84.04019140001037,None,,,,,,,,,,,,,,
