loop_count,inter_stim_inverval,GNG_stim,match,inter_stim_interval,go_stim,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,inter_stim_plus.started,inter_stim_plus.stopped,go_resp.keys,go_resp.corr,go_resp.rt,go_resp.started,go_resp.stopped,go_image.started,go_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,6.5,affective_go_stimuli\puppy_14.jpeg,1,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,6.5,affective_go_stimuli\puppy_1.jpg,1,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,5.0,affective_no_go_stimuli\spider_4.jpeg,0,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,5.5,affective_no_go_stimuli\spider_5.jpeg,0,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,,,1,5.5,affective_go_stimuli\puppy_10.jpg,0,0,0,0,,,,,0,0,0,0,0,0,0,0,44.969627700018464,None,space,1,0.2853103000088595,50.48381360000349,None,50.48381360000349,None,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,,,1,6.5,affective_go_stimuli\puppy_9.jpg,0,0,0,0,,,,,0,0,0,0,0,1,1,1,50.78654030000325,None,space,1,0.6362902999971993,57.30158960001427,None,57.30158960001427,57.801533999998355,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,,,1,4.0,affective_go_stimuli\puppy_20.jpeg,0,0,0,0,,,,,0,0,0,0,0,2,2,2,57.94964600002277,None,space,1,0.37775329998112284,61.963523100013845,None,61.963523100013845,None,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,,,1,5.0,affective_go_stimuli\puppy_22.jpeg,0,0,0,0,,,,,0,0,0,0,0,3,3,3,62.35656830001972,None,space,1,0.3625021000043489,67.36713490000693,None,67.36713490000693,None,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,,,1,5.0,affective_go_stimuli\puppy_15.jpeg,0,0,0,0,,,,,0,0,0,0,0,4,4,4,67.74674100000993,None,space,1,0.4329862000013236,72.7577517000027,None,72.7577517000027,None,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,,,1,5.5,affective_go_stimuli\puppy_18.jpeg,0,0,0,0,,,,,0,0,0,0,0,5,5,5,73.20754020000459,None,space,1,0.5745360000000801,78.73098770002252,None,78.73098770002252,79.22954030000255,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
1,,,1,5.0,affective_go_stimuli\puppy_4.jpg,0,0,0,0,,,,,0,0,0,0,0,6,6,6,79.3196775999968,None,space,1,0.6743592999991961,84.34165730001405,None,84.34165730001405,84.84157570000389,,001,2022_Feb_28_1737,affective_go_no_go,2021.2.3,144.022905402917,
,,,,,,,,,,,,,,,,,,,,,,85.02767480001785,None,,,,,,,,,,,,,,
