go_stim,match,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,go_image.started,go_image.stopped,response_interval_text.started,response_interval_text.stopped,inter_stim_text.started,inter_stim_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,16.14109309995547,None,space,4.641773699957412,16.14109309995547,None,,,,,,,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_2.jpg,['space'],0,0,0,0,0,0,0,1,,,,,,,20.8582634999766,None,21.30437199998414,None,24.30376579996664,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_28.jpg,['space'],0,0,0,0,0,1,1,5,,,,,,,31.336405199952424,None,31.816235499980394,None,34.81556079996517,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_14.jpeg,['space'],0,0,0,0,0,2,2,7,,,,,,,41.83795759995701,None,42.32795109995641,None,45.327378599962685,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_25.jpeg,['space'],0,0,0,0,0,3,3,17,,,,,,,52.344736900005955,None,52.83976719999919,None,55.83928580000065,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_4.jpg,['space'],0,0,0,0,0,4,4,12,,,,,,,60.863356499990914,None,61.34504589997232,None,64.3445134999929,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_12.jpeg,['space'],0,0,0,0,0,5,5,3,,,,,,,70.37267989997054,None,70.8570725999889,None,73.85657909995643,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_24.jpeg,['space'],0,0,0,0,0,6,6,15,,,,,,,78.87386269995477,None,79.36935699998867,None,82.36879089998547,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_5.jpg,['space'],0,0,0,0,0,7,7,4,,,,,,,88.43493449996458,None,88.88123409997206,None,91.88071449997369,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_21.jpeg,['space'],0,0,0,0,0,8,8,28,,,,,,,95.88923819997581,None,96.38681880000513,None,99.38621249998687,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_27.jpg,['space'],0,0,0,0,0,9,9,26,,,,,,,105.39886429999024,None,105.89879339997424,None,108.89833880000515,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_23.jpeg,['space'],0,0,0,0,0,10,10,14,,,,,,,112.91928649996407,None,113.40438839996932,None,116.40380390000064,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_17.jpeg,['space'],0,0,0,0,0,11,11,29,,,,,,,123.43185559997801,None,123.91611649998231,None,126.91559669998242,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_8.jpg,['space'],0,0,0,0,0,12,12,18,,,,,,,132.92854749999242,None,133.4281881999923,None,136.42750259995228,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_18.jpeg,['space'],0,0,0,0,0,13,13,27,,,,,,,140.45158649998484,None,140.9335502999602,None,143.9329957999871,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_11.jpeg,['space'],0,0,0,0,0,14,14,24,,,,,,,148.93847599998116,None,149.43884679995244,None,152.4382815999561,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
affective_go_stimuli\puppy_1.jpg,['space'],0,0,0,0,0,15,15,20,,,,,,,156.44619039999088,None,156.94444509997265,None,159.9437929999549,None,a,001,2022_Feb_06_1437,affective_go_no_go,2021.2.3,144.08868948793304,
,,,,,,,,,,,,,,,,164.9637434000033,None,,,,,,,,,,,
