go_stim,match
affective_go_stimuli\puppy_16.jpeg,['space']
affective_go_stimuli\puppy_6.jpg,['space']
affective_go_stimuli\puppy_12.jpeg,['space']
affective_go_stimuli\puppy_17.jpeg,['space']
affective_go_stimuli\puppy_1.jpg,['space']
affective_go_stimuli\puppy_5.jpg,['space']
affective_go_stimuli\puppy_10.jpg,['space']
affective_go_stimuli\puppy_3.jpg,['space']
affective_go_stimuli\puppy_19.jpeg,['space']
affective_go_stimuli\puppy_4.jpg,['space']
affective_go_stimuli\puppy_8.jpg,['space']
affective_go_stimuli\puppy_24.jpeg,['space']
affective_go_stimuli\puppy_26.jpeg,['space']
affective_go_stimuli\puppy_25.jpeg,['space']
