inter_stim_inverval,GNG_stim,match,corr_key
6.0,affective_no_go_stimuli\spider_23.jpg,0,None
4.5,affective_go_stimuli\puppy_6.jpg,1,space
5.0,affective_go_stimuli\puppy_18.jpeg,1,space
5.0,affective_go_stimuli\puppy_11.jpeg,1,space
6.0,affective_go_stimuli\puppy_27.jpg,1,space
5.0,affective_no_go_stimuli\spider_16.jpeg,0,None
6.0,affective_go_stimuli\puppy_4.jpg,1,space
6.5,affective_go_stimuli\puppy_23.jpeg,1,space
6.0,affective_no_go_stimuli\spider_14.jpeg,0,None
5.0,affective_no_go_stimuli\spider_5.jpeg,0,None
6.5,affective_no_go_stimuli\spider_3.jpeg,0,None
4.0,affective_go_stimuli\puppy_3.jpg,1,space
5.0,affective_no_go_stimuli\spider_24.jpeg,0,None
5.5,affective_no_go_stimuli\spider_27.jpeg,0,None
6.0,affective_go_stimuli\puppy_20.jpeg,1,space
5.0,affective_no_go_stimuli\spider_20.jpg,0,None
5.0,affective_go_stimuli\puppy_16.jpeg,1,space
4.0,affective_no_go_stimuli\spider_4.jpeg,0,None
4.5,affective_no_go_stimuli\spider_8.jpeg,0,None
5.5,affective_go_stimuli\puppy_12.jpeg,1,space
