inter_stim_interval,go_stim,match,GNG_stim,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,GNG_block.thisRepN,GNG_block.thisTrialN,GNG_block.thisN,GNG_block.thisIndex,inter_stim_plus.started,inter_stim_plus.stopped,go_resp.keys,go_resp.corr,go_resp.rt,go_resp.started,go_resp.stopped,go_circle.started,go_circle.stopped,GNG_instructions_resp.keys,GNG_instructions_resp.rt,GNG_instructions_resp.started,GNG_instructions_resp.stopped,GNG_resp.keys,GNG_resp.corr,GNG_resp.started,GNG_resp.stopped,GNG_circle.started,GNG_circle.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.5,go,1,,0,0,0,0,0,0,0,0,,,,,24.958360799995717,None,space,1,0.3031850000261329,30.464075699972454,None,30.464075699972454,None,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
6.5,go,1,,0,0,0,0,0,1,1,1,,,,,30.779885499970987,None,space,1,0.24437500000931323,37.2820756000001,None,37.2820756000001,None,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
6.5,go,1,,0,0,0,0,0,2,2,2,,,,,37.53681759996107,None,space,1,0.277660800027661,44.037776899989694,None,44.037776899989694,None,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
6.0,go,1,,0,0,0,0,0,3,3,3,,,,,44.32536069996422,None,space,1,0.22499620000598952,50.328242099960335,None,50.328242099960335,None,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
6.5,go,1,,0,0,0,0,0,4,4,4,,,,,50.567811999993864,None,space,1,0.18465389998164028,57.069998599996325,None,57.069998599996325,None,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
5.0,go,1,,0,0,0,0,0,5,5,5,,,,,57.26786909997463,None,space,1,0.3396195999812335,62.270387700002175,None,62.270387700002175,None,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
5.5,go,1,,0,0,0,0,0,6,6,6,,,,,62.621187899960205,None,None,0,,68.12321469996823,None,68.12321469996823,68.62302200001432,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
6.0,go,1,,0,0,0,0,0,7,7,7,,,,,71.1246162999887,None,None,0,,77.12861059996067,None,77.12861059996067,77.62825929996325,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
6.5,go,1,,0,0,0,0,0,8,8,8,,,,,80.12914679996902,None,None,0,,86.63347080000676,None,86.63347080000676,87.13324609998381,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
6.0,go,1,,0,0,0,0,0,9,9,9,,,,,89.63530779996654,None,None,0,,95.63873509998666,None,95.63873509998666,96.13847969996277,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
4.0,go,1,,0,0,0,0,0,10,10,10,,,,,98.63942650001263,None,None,0,,102.64444209996145,None,102.64444209996145,103.14405090000946,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
5.0,go,1,,0,0,0,0,0,11,11,11,,,,,105.64599190000445,None,None,0,,110.64965939999092,None,110.64965939999092,111.14945759996772,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
6.0,go,1,,0,0,0,0,0,12,12,12,,,,,113.65142020001076,None,None,0,,119.65495509997709,None,119.65495509997709,120.15470579999965,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
5.0,go,1,,0,0,0,0,0,13,13,13,,,,,122.65562149998732,None,None,0,,127.66019819997018,None,127.66019819997018,128.1599511000095,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
5.0,go,1,,0,0,0,0,0,14,14,14,,,,,130.66199699998833,None,None,0,,135.66571309999563,None,135.66571309999563,136.16539839998586,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
4.5,go,1,,0,0,0,0,0,15,15,15,,,,,138.66593550000107,None,None,0,,143.17103379999753,None,143.17103379999753,143.67076010000892,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
4.5,go,1,,0,0,0,0,0,16,16,16,,,,,146.17177349998383,None,None,0,,150.67654219997348,None,150.67654219997348,151.1763331000111,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
5.0,go,1,,0,0,0,0,0,17,17,17,,,,,153.67731950001325,None,None,0,,158.6819223999628,None,158.6819223999628,159.1817146000103,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
5.0,go,1,,0,0,0,0,0,18,18,18,,,,,161.68273870000849,None,None,0,,166.68715989997145,None,166.68715989997145,167.1870956000057,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
4.0,go,1,,0,0,0,0,0,19,19,19,,,,,169.68896429997403,None,None,0,,173.69298659998458,None,173.69298659998458,174.1926664999919,,,,,,,,,,,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
6.5,,1,go,0,0,0,0,,,,,0,0,0,0,203.15926819999004,None,,,,,,,,space,24.45275599998422,178.6855813000002,None,None,0,209.66498090000823,None,209.66498090000823,210.1647903000121,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
5.0,,0,no_go,0,0,0,0,,,,,0,1,1,1,212.66567550000036,None,,,,,,,,,,,,None,1,217.67048659996362,None,217.67048659996362,218.1701849999954,,001,2022_Mar_21_0629,traditional_go_no_go,2021.2.3,143.77111639392254,
