num_stim,match,zero_back_outer_loop.thisRepN,zero_back_outer_loop.thisTrialN,zero_back_outer_loop.thisN,zero_back_outer_loop.thisIndex,zero_back_loop.thisRepN,zero_back_loop.thisTrialN,zero_back_loop.thisN,zero_back_loop.thisIndex,one_back_outer_loop.thisRepN,one_back_outer_loop.thisTrialN,one_back_outer_loop.thisN,one_back_outer_loop.thisIndex,one_back_loop.thisRepN,one_back_loop.thisTrialN,one_back_loop.thisN,one_back_loop.thisIndex,two_back_outer_loop.thisRepN,two_back_outer_loop.thisTrialN,two_back_outer_loop.thisN,two_back_outer_loop.thisIndex,two_back_loop.thisRepN,two_back_loop.thisTrialN,two_back_loop.thisN,two_back_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,zero_back_prompt_text.started,zero_back_prompt_text.stopped,zero_back_num_stim.started,zero_back_num_stim.stopped,zero_back_resp.keys,zero_back_resp.corr,zero_back_resp.started,zero_back_resp.stopped,inter_stimuli_interval_text.started,inter_stimuli_interval_text.stopped,one_back_prompt_text.started,one_back_prompt_text.stopped,one_back_num_stim.started,one_back_num_stim.stopped,one_back_resp.keys,one_back_resp.corr,one_back_resp.started,one_back_resp.stopped,two_back_prompt_text.started,two_back_prompt_text.stopped,two_back_num_stim.started,two_back_num_stim.stopped,two_back_resp.keys,two_back_resp.corr,two_back_resp.started,two_back_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,10.454658999980893,None,space,4.370836799993413,10.454658999980893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
6,None,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,14.843220599985216,None,19.862923699984094,None,None,1,19.862923699984094,None,20.342765399982454,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
7,None,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,22.84845619997941,None,None,1,22.84845619997941,None,23.34217990000616,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
5,None,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,25.847853899991605,None,None,1,25.847853899991605,None,26.355572300002677,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
0,None,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,28.84738930000458,None,None,1,28.84738930000458,None,29.348142899980303,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
5,None,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,31.85360619999119,None,None,1,31.85360619999119,None,32.35340319998795,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
5,None,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,34.852986899990356,None,None,1,34.852986899990356,None,35.346953200001735,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
4,None,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,37.85237949999282,None,None,1,37.85237949999282,None,38.352425699995365,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
8,None,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,40.851820199983194,None,None,1,40.851820199983194,None,41.345822400006,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,43.851298199995654,None,None,0,43.851298199995654,None,44.352033500006655,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,46.850637099996675,None,None,0,46.850637099996675,None,47.344616199989105,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
3,None,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,49.84997859998839,None,None,1,49.84997859998839,None,50.34383379999781,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,52.84944359998917,None,None,0,52.84944359998917,None,53.34344460000284,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
4,None,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,55.84901899998658,None,None,1,55.84901899998658,None,56.34880659999908,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
2,None,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,58.84828279999783,None,None,1,58.84828279999783,None,59.34904440000537,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
7,None,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,61.847489299980225,None,None,1,61.847489299980225,None,62.348384699987946,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,64.8468360999832,None,None,0,64.8468360999832,None,65.34786320000421,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
2,None,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,67.85347489998094,None,None,1,67.85347489998094,None,68.35420199998771,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
1,None,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,70.85288109999965,None,None,1,70.85288109999965,None,71.35371920000762,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
0,None,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,73.85249709998607,None,None,1,73.85249709998607,None,74.34624660000554,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
9,['space'],0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,76.85163729998749,None,None,0,76.85163729998749,None,77.35162219998892,None,,,,,,,,,,,,,,,,,g,001,2022_Feb_10_1013,n_back,2021.2.3,144.01958663855805,
