num_stim,match,zero_back_outer_loop.thisRepN,zero_back_outer_loop.thisTrialN,zero_back_outer_loop.thisN,zero_back_outer_loop.thisIndex,zero_back_loop.thisRepN,zero_back_loop.thisTrialN,zero_back_loop.thisN,zero_back_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,zero_back_prompt_text.started,zero_back_prompt_text.stopped,zero_back_num_stim.started,zero_back_num_stim.stopped,zero_back_resp.keys,zero_back_resp.corr,zero_back_resp.started,zero_back_resp.stopped,inter_stimuli_interval_text.started,inter_stimuli_interval_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,10.276571199996397,None,space,2.9623516999999993,10.276571199996397,None,,,,,,,,,,,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
4,['space'],0,0,0,0,0,0,0,0,,,,,,,13.255048500024714,None,18.28163250000216,None,None,0,18.28163250000216,None,18.76160800002981,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
9,None,0,0,0,0,0,1,1,1,,,,,,,,,21.26021000003675,None,None,1,21.26021000003675,None,21.754222800023854,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
8,None,0,0,0,0,0,2,2,2,,,,,,,,,24.25962760002585,None,None,1,24.25962760002585,None,24.753650100028608,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
5,None,0,0,0,0,0,3,3,3,,,,,,,,,27.259075700014364,None,None,1,27.259075700014364,None,27.75980380002875,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
6,None,0,0,0,0,0,4,4,4,,,,,,,,,30.265409400046337,None,None,1,30.265409400046337,None,30.766242999990936,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
0,None,0,0,0,0,0,5,5,5,,,,,,,,,33.26478800002951,None,None,1,33.26478800002951,None,33.758772500033956,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
2,None,0,0,0,0,0,6,6,6,,,,,,,,,36.26418570004171,None,None,1,36.26418570004171,None,36.7580601000227,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
3,None,0,0,0,0,0,7,7,7,,,,,,,,,39.26363300002413,None,None,1,39.26363300002413,None,39.75749960000394,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
4,['space'],0,0,0,0,0,8,8,8,,,,,,,,,42.26300460001221,None,None,0,42.26300460001221,None,42.75695080001606,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
7,None,0,0,0,0,0,9,9,9,,,,,,,,,45.2624216999975,None,None,1,45.2624216999975,None,45.75629540003138,None,z,001,2022_Feb_05_1520,n_back,2021.2.3,144.1534946687533,
,,,,,,,,,,,,,,,,,,48.262004200019874,None,None,1,48.262004200019874,None,,,,,,,,,
