task_order,image_stim,match,TOL_loop.thisRepN,TOL_loop.thisTrialN,TOL_loop.thisN,TOL_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,post_instructions_resp.keys,post_instructions_resp.rt,post_instructions_resp.started,post_instructions_resp.stopped,post_instructions_text.started,post_instructions_text.stopped,multi_move_text.started,multi_move_text.stopped,exp_instructions_resp.keys,exp_instructions_resp.rt,exp_instructions_resp.started,exp_instructions_resp.stopped,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,stim_image.started,stim_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.2763416999951,None,space,0.26659690000815317,8.2763416999951,None,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_02_0820,affective_go_no_go,2021.2.3,144.1624306686502,
,,,,,,,,,,,,,,,,,space,0.2786371999536641,8.826499400020111,None,,,,,,,,,,,,,,,,,,001,2022_Mar_02_0820,affective_go_no_go,2021.2.3,144.1624306686502,
MM1,multi_move_stimuli\stim_two_move\stim_two_move_4.jpg,1,0,0,0,0,0,0,0,0,,,,,,,,,,,8.826499400020111,None,9.124282900011167,None,space,0.2677306000259705,9.124282900011167,None,16.43945970002096,None,None,0,16.43945970002096,None,9.474123299994972,16.475525000016205,,001,2022_Mar_02_0820,affective_go_no_go,2021.2.3,144.1624306686502,
MM1,multi_move_stimuli\stim_not_two_move\stim_not_two_move_3.jpg,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,26.430439400020987,None,None,1,26.430439400020987,None,19.438374900026247,26.43845620000502,,001,2022_Mar_02_0820,affective_go_no_go,2021.2.3,144.1624306686502,
MM1,multi_move_stimuli\stim_two_move\stim_two_move_3.jpg,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,36.4426070000045,None,None,0,36.4426070000045,None,29.444134599994868,36.45052419998683,,001,2022_Mar_02_0820,affective_go_no_go,2021.2.3,144.1624306686502,
MM1,multi_move_stimuli\stim_two_move\stim_two_move_2.jpg,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,46.44075810001232,None,None,0,46.44075810001232,None,39.44789170002332,46.448614399996586,,001,2022_Mar_02_0820,affective_go_no_go,2021.2.3,144.1624306686502,
MM1,multi_move_stimuli\stim_not_two_move\stim_not_two_move_4.jpg,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,56.44572900002822,None,None,1,56.44572900002822,None,49.45277909998549,56.453603900037706,,001,2022_Mar_02_0820,affective_go_no_go,2021.2.3,144.1624306686502,
MM1,multi_move_stimuli\stim_not_two_move\stim_not_two_move_2.jpg,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,66.45061749999877,None,None,1,66.45061749999877,None,59.45674890000373,66.4585932000191,,001,2022_Mar_02_0820,affective_go_no_go,2021.2.3,144.1624306686502,
MM1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_02_0820,affective_go_no_go,2021.2.3,144.1624306686502,
,,,,,,,,,,,,,,,,,,,,,,,69.44522360002156,None,space,7.290709600027185,69.44522360002156,None,,,,,,,,,,,,,,,
