task_order,stim_time,inter_stim_time,x_pos,y_pos,stim_event,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,experiment_SAT_text.started,experiment_SAT_text.stopped,experiment_vSAT_text.started,experiment_vSAT_text.stopped,experiment_instructions_rep.keys,experiment_instructions_rep.rt,experiment_instructions_rep.started,experiment_instructions_rep.stopped,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,delay_text.started,delay_text.stopped,response_cue_sound.started,response_cue_sound.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.started,mouse_resp.stopped,stimuli_background.started,stimuli_background.stopped,feedback_sound.started,feedback_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,10.927542699999321,None,space,1.610008999999991,10.927542699999321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.017,2,-0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,12.567053799997666,None,12.567053799997666,None,space,0.26344020000033197,12.567053799997666,None,12.84803969999848,None,14.851699399998324,None,14.872385599999689,None,14.976591599997482,None,0.048148148,-0.05277778,0,0,0,0.006308400003035786,None,15.417825000000448,None,16.906718899999397,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.017,3,-0.25,0.25,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,17.41723339999953,None,20.420047100000374,None,20.440732700000808,None,20.544892799998344,None,0.048148148,-0.05277778,0,0,0,0.006819100002758205,None,20.985698799999227,None,22.47511799999993,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.05,2,0.25,0.25,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,22.988224400000036,None,24.98860589999822,None,25.044199600000866,None,25.14846120000002,None,0.048148148,-0.05277778,0,0,0,0.002967500000522705,None,25.585875199998554,None,27.078513699999895,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.028999999999999998,3,-0.25,-0.25,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,27.588082700000086,None,30.591771899999003,None,30.62641839999924,None,30.730585999999313,None,0.048148148,-0.05277778,0,0,0,0.0023909000010462478,None,31.17577909999818,None,32.660734999999114,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.017,2,-0.25,-0.25,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,33.17745279999872,None,35.18115089999992,None,35.201966199998424,None,35.306070799999,None,0.048148148,-0.05277778,0,0,0,4.619999890564941e-05,None,35.74679090000063,None,37.236277699999484,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.017,2,0.0,0.0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,37.74783390000084,None,39.74960649999775,None,39.770476400000916,None,39.87461539999786,None,0.048148148,-0.05277778,0,0,0,0.006226599998626625,None,40.3158614999993,None,41.804803199998425,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.017,2,-0.25,-0.25,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,42.317051099998935,None,44.318243199999415,None,44.33903310000096,None,44.44317369999917,None,0.048148148,-0.05277778,0,0,0,0.0053809000019100495,None,44.88548620000074,None,46.37338439999949,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.028999999999999998,2,0.25,-0.25,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,46.88805919999868,None,48.89372169999842,None,48.928347799999756,None,49.03258459999925,None,0.048148148,-0.05277778,0,0,0,0.004975199997716118,None,49.475276099998155,None,50.96270130000048,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.028999999999999998,2,-0.25,-0.25,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,51.478469400000904,None,53.48306149999917,None,53.51779220000026,None,53.62193780000016,None,0.048148148,-0.05277778,0,0,0,0.0038367999986803625,None,54.06603840000025,None,55.55212800000081,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
vSAT1,0.028999999999999998,1,-0.25,-0.25,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,56.068536399998266,None,57.07257709999976,None,57.10736959999849,None,57.21148449999746,None,0.048148148,-0.05277778,0,0,0,0.003794300002482487,None,57.65504879999935,None,60.631610699999875,None,,001,2022_Feb_25_1425,SAT,2021.2.3,143.95718137337542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.62759519999963,None,63.63051809999888,None,63.665297499999724,None,63.76948499999853,None,,,,,,,,,,,,,,,,,,
