task_order,stim_time,inter_stim_time,x_pos,y_pos,stim_event,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,experiment_SAT_text.started,experiment_SAT_text.stopped,experiment_vSAT_text.started,experiment_vSAT_text.stopped,experiment_instructions_rep.keys,experiment_instructions_rep.rt,experiment_instructions_rep.started,experiment_instructions_rep.stopped,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,delay_text.started,delay_text.stopped,response_cue_sound.started,response_cue_sound.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.started,mouse_resp.stopped,stimuli_background.started,stimuli_background.stopped,feedback_sound.started,feedback_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,9.511170000012498,None,space,0.9033178000245243,9.511170000012498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,2,-0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,10.446647399978247,None,10.446647399978247,None,space,0.4653738999622874,10.446647399978247,None,10.940458600001875,None,12.94267389999004,None,12.963428699993528,None,13.067607579985633,None,-0.3175926,0.34907407,0,0,0,0.0036246399977244437,None,13.511968999984674,None,14.997896279965062,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,3,-0.25,0.25,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,15.51419919996988,None,18.517980900011025,None,18.53879959997721,None,18.64280457998393,None,-0.3175926,0.34907407,0,0,0,0.0005107400356791914,None,19.08323119999841,None,20.57305677997647,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.05,2,0.25,0.25,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,21.084295700013172,None,23.086599399975967,None,23.142041500017513,None,23.24617117998423,None,-0.3175926,0.34907407,0,0,0,0.001964840048458427,None,23.69180349999806,None,25.176262379973195,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.028999999999999998,3,-0.25,-0.25,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,25.694050499994773,None,28.696560700016562,None,28.731168199970853,None,28.835473479994107,None,-0.3175926,0.34907407,0,0,0,0.0011782399960793555,None,29.28225809999276,None,30.76549027999863,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,2,-0.25,-0.25,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,31.28409400000237,None,33.28592499997467,None,33.306664799980354,None,33.41088517999742,None,-0.3175926,0.34907407,0,0,0,0.006791019986849278,None,33.85215519997291,None,35.34094417997403,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,2,0.0,0.0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,35.852214200014714,None,37.85446659999434,None,37.875240799970925,None,37.97938078001607,None,-0.3175926,0.34907407,0,0,0,0.0052854400128126144,None,38.42198869999265,None,39.90958237997256,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,2,-0.25,-0.25,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,40.42402179999044,None,42.43003069999395,None,42.45072819996858,None,42.5548648799886,None,-0.3175926,0.34907407,0,0,0,0.0009173399885185063,None,43.00201880000532,None,44.485071679984685,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.028999999999999998,2,0.25,-0.25,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,45.0037729999749,None,47.00547039997764,None,47.04009209998185,None,47.144306980015244,None,-0.3175926,0.34907407,0,0,0,0.0006528400117531419,None,47.59085530001903,None,49.07443477999186,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.028999999999999998,2,-0.25,-0.25,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,49.59393600001931,None,51.59484249999514,None,51.62950440001441,None,51.733658879995346,None,-0.3175926,0.34907407,0,0,0,0.0006323400302790105,None,52.173936799983494,None,53.66382577997865,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.028999999999999998,1,-0.25,-0.25,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,54.174196999985725,None,55.17752550001023,None,55.21209510002518,None,55.31631547998404,None,-0.3175926,0.34907407,0,0,0,0.0018400399712845683,None,55.76255200000014,None,57.24647797999205,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.028999999999999998,1,-0.25,0.25,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,57.76389469997957,None,58.76705740002217,None,58.80167660000734,None,58.90581958001712,None,-0.3175926,0.34907407,0,0,0,0.0020377400214783847,None,59.35098420002032,None,60.836144279979635,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.028999999999999998,3,0.25,0.25,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,61.35376480000559,None,64.35617959999945,None,64.38413690001471,None,64.4880014800001,None,-0.3175926,0.34907407,0,0,0,0.0038909399299882352,None,64.93213749997085,None,66.41826837998815,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,2,0.25,-0.25,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,66.93396340002073,None,68.93871409998974,None,68.9595139999874,None,69.06358118000207,None,-0.3175926,0.34907407,0,0,0,0.0014338400214910507,None,69.50298519997159,None,70.99374268000247,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
vSAT1,0.017,1,0.0,0.0,1,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,71.50405559997307,None,72.5073066999903,None,72.52816559997154,None,72.63235377997626,None,-0.3175926,0.34907407,0,0,0,0.006585219991393387,None,73.07351229997585,None,74.56254998000804,None,,001,2022_Mar_02_1328,SAT,2021.2.3,143.71553516701587,
