task_order,stim_time,inter_stim_time,x_pos,y_pos,stim_event,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,experiment_SAT_text.started,experiment_SAT_text.stopped,experiment_vSAT_text.started,experiment_vSAT_text.stopped,experiment_instructions_rep.keys,experiment_instructions_rep.rt,experiment_instructions_rep.started,experiment_instructions_rep.stopped,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,delay_text.started,delay_text.stopped,response_cue_sound.started,response_cue_sound.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.started,mouse_resp.stopped,stimuli_background.started,stimuli_background.stopped,feedback_sound.started,feedback_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,10.843171300017275,None,space,0.2767537999898195,10.843171300017275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,-0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,11.153535199991893,None,11.153535199991893,None,space,0.3994642999896314,11.153535199991893,None,11.566152999992482,None,13.56613049999578,None,13.586900800000876,None,13.691031879992806,None,-0.10277778,0.12222222,0,0,0,0.001290640007937327,None,14.137872499995865,None,15.621141180003178,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,3,-0.25,0.25,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,16.140492600010475,None,19.14139490001253,None,19.162088800017955,None,19.266391880009905,None,-0.10277778,0.12222222,0,0,0,6.57399941701442e-05,None,19.707473200018285,None,21.19652288001089,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.05,2,0.25,0.25,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,21.711072200007038,None,23.716838599997573,None,23.772298500000034,None,23.876535980016342,None,-0.10277778,0.12222222,0,0,0,0.005822920007631183,None,24.318894099997124,None,25.80672738001158,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,3,-0.25,-0.25,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,26.320008600014262,None,29.31991759999073,None,29.354569999995874,None,29.45877548000135,None,-0.10277778,0.12222222,0,0,0,0.0013056400348432362,None,29.898483800003305,None,31.388960180003778,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,-0.25,-0.25,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,31.901908400002867,None,33.90231550001772,None,33.92320130000007,None,34.02732157999708,None,-0.10277778,0.12222222,0,0,0,0.006813220010371879,None,34.46860700001707,None,35.95753388000594,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,0.0,0.0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,36.4705510000058,None,38.47092600000906,None,38.49170579999918,None,38.59576248000667,None,-0.10277778,0.12222222,0,0,0,0.00675661998684518,None,39.03727590001654,None,40.526088480008184,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.017,2,-0.25,-0.25,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,41.040705499995966,None,43.046477399999276,None,43.06723200000124,None,43.17126628001279,None,-0.10277778,0.12222222,0,0,0,0.002023439999902621,None,43.6173875000095,None,45.10148637999373,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,2,0.25,-0.25,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,45.62110109999776,None,47.62197740000556,None,47.65653549999115,None,47.76075167999079,None,-0.10277778,0.12222222,0,0,0,0.0015800399996805936,None,48.20729389999178,None,49.69095848001598,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
vSAT1,0.028999999999999998,2,-0.25,-0.25,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,50.21074020001106,None,52.211264500016114,None,52.245986599999014,None,52.3501423800044,None,-0.10277778,0.12222222,0,0,0,0.0008367400150746107,None,52.797916700015776,None,54.280347879990586,None,m,001,2022_Feb_10_0937,SAT,2021.2.3,143.81267538836943,
