task_order,stim_time,inter_stim_time,x_pos,y_pos,stim_event,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,experiment_SAT_text.started,experiment_SAT_text.stopped,experiment_vSAT_text.started,experiment_vSAT_text.stopped,experiment_instructions_rep.keys,experiment_instructions_rep.rt,experiment_instructions_rep.started,experiment_instructions_rep.stopped,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,delay_text.started,delay_text.stopped,response_cue_sound.started,response_cue_sound.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.started,mouse_resp.stopped,stimuli_background.started,stimuli_background.stopped,feedback_sound.started,feedback_sound.stopped,mouse_resp.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,11.790561100002378,None,space,9.060065300000133,11.790561100002378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
vSAT1,0.017,2,-0.25,0.25,0,0,0,0,0,0,0,0,0,,,,,,,20.8885081000044,None,20.8885081000044,None,space,2.3525263000046834,20.8885081000044,None,23.262812200002372,None,25.271386899985373,None,25.290488300001016,None,25.394606889993884,None,0.4324074,-0.03888889,0,0,0,0.006542459974298254,None,25.83691579999868,None,27.324897789990064,None,,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
vSAT1,0.017,3,-0.25,0.25,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,27.837815499980934,None,30.838109799980884,None,30.85894139998709,None,30.963027889997466,None,0.4324074,-0.03888889,0,0,0,0.006697360018733889,None,31.40423829999054,None,32.89326428998611,None,,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
vSAT1,0.05,2,0.25,0.25,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,33.408460799983004,None,35.41354589999537,None,35.469027699989965,None,35.573257689987074,None,0.25092593,0.07685185,0,0,0,8.977000834420323e-05,None,36.01422610000009,None,37.5034511899983,None,,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
vSAT1,0.028999999999999998,3,-0.25,-0.25,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,38.01755059999414,None,41.01673989999108,None,41.05125570000382,None,41.15550358999171,None,0.26296297,0.07685185,0,0,0,0.0012288699799682945,None,41.595116499986034,None,43.08572628999245,None,,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
vSAT1,0.017,2,-0.25,-0.25,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,43.596806499990635,None,45.59901269999682,None,45.619944699981716,None,45.72407028999878,None,0.19629629,0.07037037,1,0,0,0.0062533600139431655,None,46.16575489999377,None,46.38343138999771,None,stimuli_background,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
vSAT1,0.017,2,0.0,0.0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,46.897436500003096,None,48.89714300000924,None,48.91784899999038,None,49.022016090003305,None,0.19629629,0.07037037,1,0,0,0.0054137600236572325,None,49.46491989999777,None,49.8343259800109,None,stimuli_background,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
vSAT1,0.017,2,-0.25,-0.25,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,50.34715499999584,None,52.3478088999982,None,52.36863099999027,None,52.47268538998905,None,0.19629629,0.07037037,0,0,1,0.006672460032859817,None,52.91470079999999,None,53.09068788999575,None,stimuli_background,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
vSAT1,0.028999999999999998,2,0.25,-0.25,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,53.60827729999437,None,55.611068400001386,None,55.64564319999772,None,55.74975848999456,None,0.19629629,0.0712963,0,0,1,0.002979070006404072,None,56.1952886999934,None,56.38156948999385,None,stimuli_background,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
vSAT1,0.028999999999999998,2,-0.25,-0.25,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,56.89802900000359,None,58.90192699999898,None,58.9367127000005,None,59.04092039000243,None,0.19629629,0.0712963,1,0,0,0.0045189700031187385,None,59.48495079998975,None,59.86704538999474,None,stimuli_background,z,001,2022_Feb_10_0931,SAT,2021.2.3,144.03535201086999,
